channel_id,channelGrouping,source,medium,channel_key
107,Organic Search,newsletter,organic,Organic Search|newsletter|organic
108,Organic Search,google,email,Organic Search|google|email
109,Display,facebook,cpc,Display|facebook|cpc
110,Paid Search,google,organic,Paid Search|google|organic
111,Email,youtube,referral,Email|youtube|referral
112,Paid Search,newsletter,cpc,Paid Search|newsletter|cpc
113,Email,google,cpc,Email|google|cpc
114,Social,facebook,referral,Social|facebook|referral
115,Email,facebook,cpc,Email|facebook|cpc
116,Social,facebook,email,Social|facebook|email
117,Email,newsletter,referral,Email|newsletter|referral
118,Organic Search,direct,cpc,Organic Search|direct|cpc
119,Email,youtube,cpc,Email|youtube|cpc
120,Email,facebook,referral,Email|facebook|referral
121,Direct,youtube,organic,Direct|youtube|organic
122,Social,facebook,organic,Social|facebook|organic
123,Organic Search,newsletter,(none),Organic Search|newsletter|(none)
124,Organic Search,facebook,organic,Organic Search|facebook|organic
125,Social,newsletter,(none),Social|newsletter|(none)
126,Direct,direct,cpc,Direct|direct|cpc
127,Display,bing,email,Display|bing|email
128,Organic Search,bing,organic,Organic Search|bing|organic
129,Organic Search,google,organic,Organic Search|google|organic
130,Paid Search,direct,cpc,Paid Search|direct|cpc
131,Social,youtube,email,Social|youtube|email
132,Referral,direct,cpc,Referral|direct|cpc
133,Display,facebook,organic,Display|facebook|organic
134,Social,newsletter,email,Social|newsletter|email
135,Referral,direct,(none),Referral|direct|(none)
136,Organic Search,bing,(none),Organic Search|bing|(none)
137,Display,youtube,(none),Display|youtube|(none)
138,Direct,bing,referral,Direct|bing|referral
139,Social,google,referral,Social|google|referral
140,Email,direct,referral,Email|direct|referral
141,Organic Search,youtube,organic,Organic Search|youtube|organic
142,Social,direct,organic,Social|direct|organic
143,Display,newsletter,email,Display|newsletter|email
144,Social,youtube,(none),Social|youtube|(none)
145,Paid Search,direct,referral,Paid Search|direct|referral
146,Email,newsletter,email,Email|newsletter|email
147,Organic Search,bing,cpc,Organic Search|bing|cpc
148,Paid Search,youtube,(none),Paid Search|youtube|(none)
149,Organic Search,google,(none),Organic Search|google|(none)
150,Paid Search,newsletter,email,Paid Search|newsletter|email
151,Referral,direct,email,Referral|direct|email
152,Direct,google,(none),Direct|google|(none)
153,Referral,youtube,organic,Referral|youtube|organic
154,Social,newsletter,cpc,Social|newsletter|cpc
155,Organic Search,direct,email,Organic Search|direct|email
156,Paid Search,youtube,referral,Paid Search|youtube|referral
157,Display,bing,(none),Display|bing|(none)
158,Email,youtube,email,Email|youtube|email
159,Organic Search,facebook,email,Organic Search|facebook|email
160,Referral,newsletter,referral,Referral|newsletter|referral
161,Display,google,referral,Display|google|referral
162,Referral,facebook,cpc,Referral|facebook|cpc
163,Direct,direct,referral,Direct|direct|referral
164,Organic Search,newsletter,referral,Organic Search|newsletter|referral
165,Display,bing,referral,Display|bing|referral
166,Display,bing,cpc,Display|bing|cpc
167,Display,facebook,(none),Display|facebook|(none)
168,Referral,newsletter,email,Referral|newsletter|email
169,Organic Search,google,cpc,Organic Search|google|cpc
170,Organic Search,newsletter,email,Organic Search|newsletter|email
171,Paid Search,google,referral,Paid Search|google|referral
172,Email,newsletter,organic,Email|newsletter|organic
173,Direct,google,organic,Direct|google|organic
174,Direct,google,cpc,Direct|google|cpc
175,Paid Search,bing,email,Paid Search|bing|email
176,Paid Search,direct,email,Paid Search|direct|email
177,Paid Search,facebook,email,Paid Search|facebook|email
178,Social,direct,cpc,Social|direct|cpc
179,Display,direct,organic,Display|direct|organic
180,Paid Search,bing,(none),Paid Search|bing|(none)
181,Email,google,referral,Email|google|referral
182,Direct,bing,email,Direct|bing|email
183,Direct,direct,organic,Direct|direct|organic
184,Email,facebook,organic,Email|facebook|organic
185,Display,newsletter,referral,Display|newsletter|referral
186,Social,bing,email,Social|bing|email
187,Organic Search,youtube,email,Organic Search|youtube|email
188,Organic Search,bing,referral,Organic Search|bing|referral
189,Display,google,organic,Display|google|organic
190,Organic Search,youtube,cpc,Organic Search|youtube|cpc
191,Display,newsletter,cpc,Display|newsletter|cpc
